,Anno,Codice_Nazionale,Codice_Istat,Denominazione Italiana,Provincia,Sigla Provincia,Codice_Provincia,Regione,Sigla Regione,Codice_Regione,AreaGeo,CAT_DET_COD_1,CAT_DET_COD_2,CAT_DET_COD_3,CAT_DET_COD_4,CAT_DET_COD_5,CAT_DET_COD_6,CAT_DET_COD_7,COEFF_TEORICO,IND1,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,LQP_COD_1,LQP_COD_2,LQP_COD_3,LQP_COD_4,LQP_COD_5,LQP_COD_6,LQP_COD_S
29,2010,B736,6030.0,Carbonara Scrivia,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.09758782099999999,0.212796614,0.100197588,0.036499942,0.5222330310000001,0.001355157,0.029329847000000003,2.8446300000000002e-05,105.8193669,80.55109818,18.64974705,5255.005317,23.11924909,0.0,0.703703704,0.0,4.655493482,80.55109818,18.64974705,0.0,0.0,10.0,7.0,4.6
30,2010,B765,6031.0,Carentino,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.218856825,0.08741565,0.072029488,0.0,0.608906855,0.000443259,0.012347923,1.01984e-05,13.80058651,-79.14660146,-47.17903565,233.89545780000003,14.91046267,0.0,0.0,0.0,8.797653959,-79.14660146,-47.17903565,0.0,1.0,1.0,1.0,4.6
31,2010,B769,6032.0,Carezzano,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.208523945,0.131414972,0.060067811,0.056787669000000006,0.49688372399999997,0.0018815079999999998,0.044440371,1.6288399999999998e-05,76.93973214,-4.367243794,-45.02483377,1006.838051,0.0,0.0,0.0,0.0,0.0,-4.367243794,-45.02483377,0.0,0.0,5.0,1.0,3.0
32,2010,B818,6033.0,Carpeneto,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.226395622,0.10627594,0.082645965,0.040733008,0.521825646,0.001260745,0.020863074,2.3685900000000003e-05,66.87682003,23.25913076,107.42574280000001,464.90965020000004,5.037486093,0.0,0.0,0.0,2.038439138,23.25913076,107.42574280000001,0.0,2.0,7.0,10.0,7.6
33,2010,B836,6034.0,Carrega Ligure,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.573724582,0.010060712,0.009494794,0.027920512,0.281208967,0.0,0.097590434,2.47183e-05,517.6470588000001,-19.55657238,142.9140522,849.3241117,0.0,0.0,0.0,0.0,0.0,-19.55657238,142.9140522,0.0,2.0,4.0,10.0,8.8
34,2010,B840,6035.0,Carrosio,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.21709146199999999,0.134489804,0.08790664599999999,0.044649027,0.48173043600000004,0.000491646,0.033640979,1.01416e-05,117.9024896,153.2329441,430.0252138999999,5315.741719,9.353924439,0.0,0.0,0.0,2.074688797,153.2329441,430.0252138999999,0.0,3.0,10.0,10.0,6.4
35,2010,B847,6036.0,Cartosio,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.202564935,0.126342224,0.07562368900000001,0.028771886,0.549307749,0.0014620520000000001,0.015927465,2.30997e-05,93.67686659,49.72828131,-14.98881658,1320.480614,6.901406507000001,0.0,0.0,0.0,4.895960832,49.72828131,-14.98881658,0.0,0.0,9.0,4.0,3.2
36,2010,B870,6037.0,Casal Cermelli,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.11432679300000001,0.12092970300000001,0.096164443,0.117040206,0.536633967,0.0,0.014904888,2.6388000000000002e-05,45.92240697,-0.67074957,-5.376766514,2158.043176,18.60382048,0.0,0.0,0.0,3.958828187,-0.67074957,-5.376766514,0.0,0.0,5.0,5.0,5.4
37,2010,B882,6038.0,Casaleggio Boiro,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.253075165,0.099794736,0.070306457,0.007968525,0.5249351520000001,0.0,0.043919966,1.4221600000000001e-05,148.6238095,98.35587771,46.61342675,1994.5743690000002,6.3906134670000005,0.0,0.0,0.0,4.7619047619999995,98.35587771,46.61342675,0.0,0.0,10.0,9.0,5.8
38,2010,B885,6039.0,Casale Monferrato,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.076261068,0.26586736899999996,0.094819173,0.050495105,0.49657506700000004,0.0020603920000000003,0.013921826000000002,0.00064062,48.51540104,23.44379087,27.03934122,4802.022121,37.86949513,0.548833263,0.0,3.0,3.826000166,23.44379087,27.03934122,0.0,0.0,7.0,8.0,6.4
39,2010,B902,6040.0,Casalnoceto,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.153921836,0.157114802,0.0956593,0.052541233,0.506700452,0.000379913,0.033682464,2.31455e-05,90.46673287,77.87213394,-30.74732832,2069.471546,0.0,0.0,0.10588235300000001,0.0,0.0,77.87213394,-30.74732832,0.0,0.0,10.0,3.0,2.2
40,2010,B941,6041.0,Casasco,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.247781649,0.064519511,0.032480042,0.044763660999999996,0.599673516,0.0008052589999999999,0.00997636,1.0388399999999999e-05,167.312,-9.019904306,-16.09667044,497.14156669999994,0.0,0.0,0.0,2.0,0.0,-9.019904306,-16.09667044,0.0,0.0,5.0,4.0,4.8
41,2010,C005,6042.0,Cassano Spinola,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.144937347,0.174439795,0.097644435,0.03461998,0.5025105639999999,0.004495011,0.041352868,3.61921e-05,69.13282937,59.87027371,-28.71935417,4400.4743,17.18478803,0.0,0.0,0.0,2.699784017,59.87027371,-28.71935417,0.0,0.0,9.0,3.0,2.6
42,2010,C027,6043.0,Cassine,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.248165201,0.134181335,0.087533107,0.043409259000000006,0.46227179399999996,0.002752824,0.02168648,7.36404e-05,79.40226798,50.323789700000006,22.58507857,1496.110006,10.99380316,1.832300527,0.0,0.0,2.685765443,50.323789700000006,22.58507857,0.0,0.0,9.0,7.0,5.0
43,2010,C030,6044.0,Cassinelle,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.261618421,0.145890758,0.080121733,0.03566148,0.46382271700000005,0.00026632,0.012618569,2.95185e-05,117.702381,66.50191127,62.97620093,2377.872668,4.372817691,0.0,0.0,0.0,2.164502165,66.50191127,62.97620093,0.0,0.0,9.0,9.0,6.2
44,2010,C137,6045.0,Castellania,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.317739873,0.035816738,0.037215276,0.050430206,0.436209413,0.0,0.122588494,6.08697e-06,164.69767439999998,5.157690325,-41.02707306,817.8017967999999,0.0,0.0,0.0,0.0,0.0,5.157690325,-41.02707306,0.0,0.0,6.0,2.0,3.2
